scat_number,date,time,volume
4034,10/3/2006,11:45,153.0
4034,10/3/2006,12:00,164.5
4034,10/3/2006,12:15,159.5
4034,10/3/2006,12:30,159.0
4034,10/3/2006,12:45,155.75
4034,10/3/2006,13:00,152.25
4034,10/3/2006,13:15,161.5
4034,10/3/2006,13:30,152.5
4034,10/3/2006,13:45,155.0
4034,10/3/2006,14:00,148.5
4034,10/3/2006,14:15,186.75
4034,10/3/2006,14:30,165.25
4034,10/3/2006,14:45,177.0
4034,10/3/2006,15:00,176.5
4034,10/3/2006,15:15,187.5
4034,10/3/2006,15:30,170.25
4034,10/3/2006,15:45,199.25
4034,10/3/2006,16:00,191.25
4034,10/3/2006,16:15,215.75
4034,10/3/2006,16:30,207.75
4034,10/3/2006,16:45,194.0
4034,10/3/2006,17:00,211.75
4034,10/3/2006,17:15,224.5
4034,10/3/2006,17:30,228.0
4034,10/3/2006,17:45,223.5
4034,10/3/2006,18:00,216.25
4034,10/3/2006,18:15,203.0
4034,10/3/2006,18:30,183.0
4034,10/3/2006,18:45,180.75
4034,10/3/2006,19:00,160.25
4034,10/3/2006,19:15,145.75
4034,10/3/2006,19:30,133.0
4034,10/3/2006,19:45,112.25
4034,10/3/2006,20:00,108.25
4034,10/3/2006,20:15,99.5
4034,10/3/2006,20:30,95.0
4034,10/3/2006,20:45,91.75
4034,10/3/2006,21:00,91.0
4034,10/3/2006,21:15,92.5
4034,10/3/2006,21:30,84.0
4034,10/3/2006,21:45,88.75
4034,10/3/2006,22:00,91.5
4034,10/3/2006,22:15,77.75
4034,10/3/2006,22:30,78.25
4034,10/3/2006,22:45,61.75
4034,10/3/2006,23:00,50.5
4034,10/3/2006,23:15,44.0
4034,10/3/2006,23:30,41.5
4034,10/3/2006,23:45,28.5
4034,10/30/2006,00:00,24.75
4034,10/30/2006,00:15,18.75
4034,10/30/2006,00:30,19.75
4034,10/30/2006,00:45,13.5
4034,10/30/2006,01:00,11.25
4034,10/30/2006,01:15,10.5
4034,10/30/2006,01:30,11.75
4034,10/30/2006,01:45,7.25
4034,10/30/2006,02:00,8.25
4034,10/30/2006,02:15,7.25
4034,10/30/2006,02:30,5.75
4034,10/30/2006,02:45,9.0
4034,10/30/2006,03:00,5.5
4034,10/30/2006,03:15,5.25
4034,10/30/2006,03:30,5.5
4034,10/30/2006,03:45,4.25
4034,10/30/2006,04:00,5.0
